"Origen","Destino","Año","Mes","Día","Periodo","Modo","Distancia","Residencia","Actividad_Origen","Actividad_Destino","Viajeros","Viajeros-km"
"01","02","2017","10","9","P3","privado","D2","España","esporádica","casa","11,123","5298,233"
"01","02","2017","10","9","P4","privado","D2","España","esporádica","casa","11,208","5875,17"
"01","03","2017","10","9","P3","privado","D2","España","esporádica","esporádica","18,833","13607,667"
"01","05","2017","10","9","P3","privado","D2","España","esporádica","casa","12,048","3952,497"
"01","06","2017","10","9","P2","privado","D2","España","esporádica","casa","4,669","2953,463"
"01","06","2017","10","9","P2","privado","D2","España","esporádica","frecuente","14,355","8551,272"
"01","08","2017","10","9","P2","privado","D2","Italia","NA","NA","9,977","5383,939"
"01","08","2017","10","9","P2","privado","D2","Resto de Europa","NA","NA","12,229","5174,236"
"01","08","2017","10","9","P2","tren","D2","España","esporádica","esporádica","15,886","9318,957"
"01","08","2017","10","9","P3","autobús","D2","Francia","NA","NA","5,223","2429,241"
"01","08","2017","10","9","P3","privado","D2","Alemania","NA","NA","17,14","8301,663"
"01","08","2017","10","9","P3","privado","D2","Belgica","NA","NA","4,156","2169,813"
"01","08","2017","10","9","P3","privado","D2","España","esporádica","casa","33,034","16078,074"
"01","08","2017","10","9","P3","privado","D2","España","esporádica","esporádica","11,573","5833,121"
"01","08","2017","10","9","P3","privado","D2","España","frecuente","esporádica","13,438","6148,637"
"01","08","2017","10","9","P3","privado","D2","España","frecuente","frecuente","28,249","14498,283"
"01","08","2017","10","9","P3","privado","D2","Resto de Europa","NA","NA","12,229","5579,711"
"01","08","2017","10","9","P3","tren","D2","España","casa","frecuente","30,119","17668,586"
"01","08","2017","10","9","P3","tren","D2","España","frecuente","frecuente","16,179","9491,15"
"01","08","2017","10","9","P4","privado","D2","Alemania","NA","NA","8,57","4600,927"
"01","08","2017","10","9","P4","privado","D2","España","casa","esporádica","26,722","14252,564"
"01","08","2017","10","9","P4","privado","D2","España","esporádica","casa","40,966","21908,016"
"01","08","2017","10","9","P4","privado","D2","España","esporádica","frecuente","12,31","5958,548"
"01","08","2017","10","9","P4","privado","D2","España","esporádica","trabajo","15,131","8388,115"
"01","08","2017","10","9","P4","privado","D2","España","frecuente","frecuente","26,631","14856,609"
"01","08","2017","10","9","P4","privado","D2","Francia","NA","NA","5,223","2628,835"
"01","08","2017","10","9","P4","tren","D2","España","esporádica","esporádica","13,72","8048,495"
"01","09","2017","10","9","P1","privado","D2","Alemania","NA","NA","8,57","1364,871"
"01","09","2017","10","9","P1","privado","D2","España","casa","esporádica","58,299","4473,185"
"01","09","2017","10","9","P1","privado","D2","España","casa","frecuente","17,506","1211,449"
"01","09","2017","10","9","P1","privado","D2","España","frecuente","casa","37,435","5530,609"
"01","09","2017","10","9","P1","privado","D2","España","frecuente","esporádica","44,867","4212,108"
"01","09","2017","10","9","P1","privado","D2","España","frecuente","frecuente","34,16","4531,565"
"01","09","2017","10","9","P1","privado","D2","Francia","NA","NA","5,223","673,418"
"01","09","2017","10","9","P1","privado","D2","Italia","NA","NA","24,941","3037,324"
"01","09","2017","10","9","P2","autobús","D2","Francia","NA","NA","5,223","605,571"
"01","09","2017","10","9","P2","privado","D2","Belgica","NA","NA","16,622","2187,582"
"01","09","2017","10","9","P2","privado","D2","España","casa","esporádica","107,841","12072,686"
"01","09","2017","10","9","P2","privado","D2","España","casa","frecuente","32,462","3373,775"
"01","09","2017","10","9","P2","privado","D2","España","casa","trabajo","55,003","3528,157"
"01","09","2017","10","9","P2","privado","D2","España","esporádica","casa","11,533","442,888"
"01","09","2017","10","9","P2","privado","D2","España","esporádica","esporádica","56,295","3600,206"
"01","09","2017","10","9","P2","privado","D2","España","esporádica","frecuente","84,642","9979,859"
"01","09","2017","10","9","P2","privado","D2","España","frecuente","casa","45,481","3629,725"
"01","09","2017","10","9","P2","privado","D2","España","frecuente","esporádica","18,387","2010,464"
"01","09","2017","10","9","P2","privado","D2","España","frecuente","frecuente","41,886","2843,534"
"01","09","2017","10","9","P2","privado","D2","España","trabajo","esporádica","26,56","4193,346"
"01","09","2017","10","9","P2","privado","D2","España","trabajo","frecuente","16,512","1251,284"
"01","09","2017","10","9","P2","privado","D2","Francia","NA","NA","5,223","527,476"
"01","09","2017","10","9","P2","privado","D2","Paises Nordicos","NA","NA","7,605","383,59"
"01","09","2017","10","9","P2","privado","D2","Resto de Europa","NA","NA","12,229","912,192"
"01","09","2017","10","9","P2","tren","D2","España","esporádica","frecuente","17,587","2010,216"
"01","09","2017","10","9","P2","tren","D2","España","frecuente","esporádica","19,416","636,443"
"01","09","2017","10","9","P3","autobús","D2","España","casa","esporádica","9,745","698,344"
"01","09","2017","10","9","P3","privado","D2","Alemania","NA","NA","8,57","775,902"
"01","09","2017","10","9","P3","privado","D2","España","casa","esporádica","13,38","1468,862"
"01","09","2017","10","9","P3","privado","D2","España","casa","frecuente","36,506","2149,446"
"01","09","2017","10","9","P3","privado","D2","España","esporádica","casa","94,375","8815,691"
"01","09","2017","10","9","P3","privado","D2","España","esporádica","esporádica","188,001","14590,152"
"01","09","2017","10","9","P3","privado","D2","España","esporádica","frecuente","9,745","1813,675"
"01","09","2017","10","9","P3","privado","D2","España","frecuente","casa","61,326","4138,128"
"01","09","2017","10","9","P3","privado","D2","España","frecuente","esporádica","82,374","7789,359"
"01","09","2017","10","9","P3","privado","D2","España","frecuente","frecuente","108,365","11401,335"
"01","09","2017","10","9","P3","privado","D2","España","trabajo","frecuente","27,237","2912,538"
"01","09","2017","10","9","P3","privado","D2","Francia","NA","NA","31,338","3488,434"
"01","09","2017","10","9","P3","privado","D2","Italia","NA","NA","9,977","959,537"
"01","09","2017","10","9","P3","privado","D2","Paises Bajos","NA","NA","5,167","320,773"
"01","09","2017","10","9","P3","privado","D2","Reino Unido","NA","NA","7,815","860,257"
"01","09","2017","10","9","P3","privado","D2","Resto de Europa","NA","NA","12,229","1191,542"
"01","09","2017","10","9","P3","privado","D2","Resto del mundo","NA","NA","36,373","4087,829"
"01","09","2017","10","9","P3","tren","D2","España","esporádica","casa","15,023","492,445"
"01","09","2017","10","9","P4","autobús","D2","España","esporádica","casa","14,902","1252,796"
"01","09","2017","10","9","P4","privado","D2","Alemania","NA","NA","17,14","1551,693"
"01","09","2017","10","9","P4","privado","D2","Belgica","NA","NA","12,467","966,497"
"01","09","2017","10","9","P4","privado","D2","España","casa","frecuente","25,333","2535,664"
"01","09","2017","10","9","P4","privado","D2","España","esporádica","casa","123,997","12433,195"
"01","09","2017","10","9","P4","privado","D2","España","esporádica","esporádica","67,068","5206,417"
"01","09","2017","10","9","P4","privado","D2","España","esporádica","frecuente","165,869","15689,192"
"01","09","2017","10","9","P4","privado","D2","España","frecuente","casa","110,337","8501,842"
"01","09","2017","10","9","P4","privado","D2","España","frecuente","esporádica","32,675","4066,597"
"01","09","2017","10","9","P4","privado","D2","España","frecuente","frecuente","72,548","5675,083"
"01","09","2017","10","9","P4","privado","D2","España","trabajo","casa","72,963","5014,838"
"01","09","2017","10","9","P4","privado","D2","España","trabajo","esporádica","17,356","1820,591"
"01","09","2017","10","9","P4","privado","D2","Francia","NA","NA","5,223","512,543"
"01","09","2017","10","9","P4","privado","D2","Paises Nordicos","NA","NA","7,605","825,943"
"01","09","2017","10","9","P4","privado","D2","Resto de Europa","NA","NA","12,229","1200,004"
"01","09","2017","10","9","P4","tren","D2","España","esporádica","casa","13,117","429,971"
"01","10","2017","10","9","P2","privado","D2","España","esporádica","casa","13,128","7217,075"
"01","10","2017","10","9","P3","privado","D2","Francia","NA","NA","5,223","2698,411"
"01","11","2017","10","9","P2","privado","D2","España","esporádica","esporádica","25,078","22205,221"
"01","12","2017","10","9","P3","privado","D2","Alemania","NA","NA","8,57","4165,272"
"01","12","2017","10","9","P3","privado","D2","España","esporádica","casa","10,314","5560,39"
"01","13","2017","10","9","P3","privado","D2","Alemania","NA","NA","8,57","5197,48"
"01","13","2017","10","9","P3","privado","D2","Francia","NA","NA","5,223","2690,038"
"01","13","2017","10","9","P4","privado","D2","España","frecuente","frecuente","6,257","3687,369"
"01","14","2017","10","9","P2","privado","D2","España","frecuente","esporádica","21,0","15169,182"
"01","14","2017","10","9","P4","privado","D2","España","frecuente","casa","14,604","10306,832"
